369;PL;1009;2330;3;R OLAVO BARRETO VIANA 21 / 03 BOXES 36 E 37;12
370;PC;0;0;0;370;0
370;PA;90;0;0;90;1
370;PL;90;257;3;AV JOSE GERTUM 592;1
370;PA;125;0;0;125;1
370;PL;125;359;7;AV PROTASIO ALVES 3944 / 01;1
370;PA;126;0;0;126;1
370;PL;126;360;2;AV PROTASIO ALVES 3950 / 02;1
370;PA;127;0;0;127;4
370;PL;127;361;4;AV PROTASIO ALVES 3956 / 03;4
370;PA;173;0;0;173;1
370;PL;173;546;5;AV JOSE GERTUM 594;1
370;PA;248;0;0;248;1
370;PL;248;826;2;R DR FLORES 75 / 81 LJ;1
370;PL;248;905;2;R DR FLORES 77 / 85;1
370;PA;400;0;0;400;1
370;PL;400;1254;1;R PADRE CHAGAS 403;1
370;PA;1034;0;0;1034;4
370;PL;1034;2361;1;R PADRE CHAGAS 415 / BOXES 36 E 37;4
371;PC;0;0;0;371;0
371;PA;248;0;0;248;1
371;PL;248;826;2;R DR FLORES 75 / 81 LJ;1
371;PL;248;905;2;R DR FLORES 77 / 85;1
376;PC;0;0;0;376;0
376;PA;314;0;0;314;1
376;PL;314;1013;1;R ALM.TAMANDARE 640 / 02;1
376;PA;877;0;0;877;12
376;PL;877;2096;1;R SANTOS DUMONT 840 / 850;12
379;PC;0;0;0;379;0
379;PA;315;0;0;315;4
379;PL;315;1018;3;R SERAFIM DE ALENCASTRO 265;4
379;PA;916;0;0;916;12
379;PL;916;2155;2;R SERAFIM ALENCASTRO 265;12
385;PC;0;0;0;385;0
385;PA;248;0;0;248;1
385;PL;248;826;2;R DR FLORES 75 / 81 LJ;1
385;PL;248;905;2;R DR FLORES 77 / 85;1
385;PA;276;0;0;276;0
393;PC;0;0;0;393;0
393;PA;221;0;0;221;1
393;PL;221;709;2;R DR BARROS CASSAL 33 / 603;1
393;PA;841;0;0;841;4
393;PL;841;2013;3;AV PROTASIO ALVES 2365 / 406;4
393;PA;873;0;0;873;12
393;PL;873;2081;1;R ECA DE QUEIROS 194 / 908 TORRE B  BOXE 61;12
393;PA;919;0;0;919;12
393;PL;919;2159;1;R PROFESSOR LANGENDONCK 37 / SALA 404;12
393;PA;931;0;0;931;4
393;PL;931;2176;1;R CANANEIA 255 / 416 TORRE B BX 81e82;4
393;PA;935;0;0;935;12
393;PL;935;2177;1;R CANANEIA 255 / 313 T B BX 151 e 152;12
393;PA;955;0;0;955;12
393;PL;955;2230;2;R PROFESSOR LANGENDONCK 37 / SALA 306;12
393;PA;956;0;0;956;12
393;PL;956;2231;1;R ECA DE QUEIROS 194 / APTO 907 BOXES 61/62;12
395;PC;0;0;0;395;0
395;PA;201;0;0;201;1
395;PL;201;655;5;R VINTE E QUATRO DE OUTUBRO 395 / 39;1
399;PC;0;0;0;399;0
399;PA;433;0;0;433;1
399;PL;433;1336;3;R ANA NERY 597;1
399;PA;889;0;0;889;4
399;PL;889;2114;5;R ITAPEVA 371 / 308;4
401;PC;0;0;0;401;0
401;PA;436;0;0;436;1
401;PL;436;1339;1;AV PARANA 1579;1
401;PA;437;0;0;437;4
401;PL;437;1340;9;AV PARANA 1575 / 201;4
401;PA;438;0;0;438;4
401;PL;438;1342;6;AV PARANA 1575 / 203;4
401;PA;439;0;0;439;4
401;PL;439;1343;2;AV PARANA 1575 / 204;4
401;PA;680;0;0;680;4
401;PL;680;1735;7;AV PARANA 1575 / 202;4
401;PA;699;0;0;699;2
401;PL;699;1763;1;AV PARANA 1571 / LOJA;2
402;PC;0;0;0;402;0
402;PA;440;0;0;440;1
402;PL;440;1345;5;R CEL.JOAO CORREA 335 / 244 BL G;1
414;PC;0;0;0;414;0
414;PA;451;0;0;451;1
414;PL;451;1368;3;R PEDRO DE OLIVEIRA BITTENCOURT 181 / 8;1
414;PA;950;0;0;950;4
414;PL;950;2210;1;R MARCILIO DIAS 1475;4
425;PC;0;0;0;425;0
425;PA;50;0;0;50;1
425;PL;50;116;1;R CONDE DE PORTO ALEGRE 71;1
425;PA;255;0;0;255;1
425;PL;255;854;2;R ALMIRANTE TAMANDARE 797 / E 801;1
432;PC;0;0;0;432;0
432;PA;353;0;0;353;1
432;PL;353;1137;9;R MAX JUNIMAN 35 / 113 BOXE 4;1
